Mods count: 302
 
                                     jar name                                      |     notes     |                 mod id                 |                               mod name                                |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
amyshield-1.4.0.jar                                                                | via Connector | amyshield                              | Amethyst Shield                                                       | 1.4.0                        | amyshield.mixins.json, amyshield.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 98219ef5eacaa4147490c7c3793949b02fe54528 | 151140441      
    /META-INF/jars/owo-sentinel-0.11.2+1.20.jar                                    |               | owo-sentinel                           | oωo-sentinel                                                          | 0.11.2+1.20                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
ApothicAttributes-1.20.1-1.3.7.jar                                                 |               | attributeslib                          | Apothic Attributes                                                    | 1.3.7                        | attributeslib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 1dc0744d17f0861fe6b067798d39abce9d8e0e86 | 2709009994     
appleskin-forge-mc1.20.1-2.5.1.jar                                                 |               | appleskin                              | AppleSkin                                                             | 2.5.1+mc1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 81919356f84eab14258db98924b66c3c38e372b1 | 1671637789     
apprentice_codex-0.9.4.1+mc1.20.1.jar                                              |               | apprenticecodex                        | Apprentice's Codex                                                    | 0.9.4.1                      | mixins.apprenticecodex.json, mixins.apprenticecodex.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                              | cf3ef4e1f1656ee095bf5dab594084891158666d | 4127730109     
ArcheryExpansion-forge-1.20.1-1.0.7.3-all.jar                                      |               | archeryexp                             | Archery Expansion                                                     | 1.0.7.3                      | archeryexp.forge.mixins.json, archeryexp.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | aaecde31d379370d2a56fd8946e2d5ba15919c37 | 3960956011     
architectury-9.2.14-forge.jar                                                      |               | architectury                           | Architectury                                                          | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
artifacts-forge-9.5.19.jar                                                         |               | artifacts                              | Artifacts                                                             | 9.5.19                       | mixins.artifacts.forge.json, mixins.artifacts.common.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 91ab6fc2cc208550f7fc37c43e42eba81eff318e | 530214686      
    /META-INF/jars/expandability-forge-9.0.4.jar                                   |               | expandability                          | ExpandAbility                                                         | 9.0.4                        | expandability.mixins.json, expandability-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
arts_and_crafts-forge-1.20.1-1.5.4.jar                                             |               | arts_and_crafts                        | Arts & Crafts                                                         | 1.5.4                        | arts_and_crafts.forge.mixins.json, arts_and_crafts-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                        | 2651938053bfadb9846c174a12d546de5997a3b9 | 2989630614     
AttributeFix-Forge-1.20.1-21.0.5.jar                                               |               | attributefix                           | AttributeFix                                                          | 21.0.5                       | attributefix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 76d6b2d0f2a3c9842587ad20666ba419cd8c1efa | 3762486546     
attributemodify-1.0.9.jar                                                          |               | attributemodify                        | AttributeModify                                                       | 1.0.9                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 886e6c11d29c4bf95bfe8a2d37b548483b8e1ff2 | 3289145667     
attributetooltipfix-forge-1.20.1-2.0.1.jar                                         |               | attributetooltipfix                    | Attribute-Tooltip-Fix                                                 | 1.20.1-2.0.1                 | attributetooltipfix-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 613363fc40cd1ac3754e1cdbc7e3d0f698506f57 | 2926065949     
azurelib-neo-1.20.1-3.1.0.jar                                                      |               | azurelib                               | AzureLib                                                              | 3.1.0                        | azurelib.forge.mixins.json, azurelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4a6f0a6aaa51dc0bb57e4f358cbcfb22081de1ca | 259135284      
babel_core-1.0.0.jar                                                               |               | babel_core                             | Babel Core                                                            | 1.0.0                        | babel_core.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 6cd5e9927b18ddc555498565ac1d3938ab0f34db | 1721044930     
baguettelib-1.20.1-Forge-1.1.6.jar                                                 |               | baguettelib                            | BaguetteLib                                                           | 1.1.6                        | baguettelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 8d3c9551bbed4c2f2e8cb2b9a10d31bad4edb52d | 2947245849     
balm-forge-1.20.1-7.3.38-all.jar                                                   |               | balm                                   | Balm                                                                  | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                             |               | kuma_api                               | KumaAPI                                                               | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
